record_id,scientific_name,family,sex,life_stage,body_mass_g,total_length_mm,habitat,parasite_group,collection_date,country,state_province,locality,latitude,longitude
TM001,Peromyscus leucopus,Cricetidae,male,adult,23.4,182,woodland,Siphonaptera,2023-05-14,United States,Kansas,Konza Prairie,39.091,-96.583
TM002,Peromyscus leucopus,Cricetidae,female,adult,21.8,176,woodland,Acari,2023-05-15,United States,Kansas,Konza Prairie,39.102,-96.575
TM003,Peromyscus maniculatus,Cricetidae,male,adult,18.1,169,grassland,Siphonaptera,2019-06-03,United States,Kansas,Smoky Hills,38.781,-98.128
TM004,Microtus ochrogaster,Cricetidae,female,adult,42.0,151,grassland,Cestoda,2022-04-22,United States,Kansas,Flint Hills,38.722,-96.448
TM005,Sigmodon hispidus,Cricetidae,male,adult,87.6,241,grassland,Acari,2024-07-18,United States,Kansas,Scott Wildlife Area,38.678,-100.916
TM006,Sigmodon hispidus,Cricetidae,female,juvenile,52.3,205,grassland,Anoplura,2024-07-18,United States,Kansas,Scott Wildlife Area,38.682,-100.903
TM007,Neotoma floridana,Cricetidae,female,adult,231.5,354,woodland,Cestoda,2021-09-09,United States,Kansas,Konza Prairie,39.083,-96.571
TM008,Reithrodontomys fulvescens,Cricetidae,male,adult,12.8,147,grassland,Siphonaptera,2025-07-17,United States,Kansas,Western Kansas,38.940,-101.151
TM009,Baiomys taylori,Cricetidae,female,adult,8.9,108,grassland,Acari,2025-07-11,United States,Kansas,Cimarron Grassland,37.118,-101.868
TM010,Peromyscus leucopus,Cricetidae,female,juvenile,16.4,151,edge,Cestoda,2017-08-21,United States,Missouri,Tallgrass remnant,39.261,-94.852
TM011,Microtus ochrogaster,Cricetidae,male,adult,46.2,158,grassland,,2016-05-02,United States,Nebraska,Prairie site,40.821,-98.291
TM012,Neotoma floridana,Cricetidae,male,adult,268.1,371,woodland,Siphonaptera,2020-10-13,United States,Oklahoma,Cross Timbers,35.552,-97.311
